Created By Broughy1322,,"This sheet contains a variety of useful information about all vehicles in GTA 5, such as prices, numbers of seats, where they can be bought, etc. This does not focus on vehicle performance and is primarily for information.",,,,,,,,,,,,,,,,,,,
Class,Vehicle,Key Attributes,,,Performance Improvements,,,,Acquiring,,,Storing & Upgrading,,Race Availability,,,Added To GTA,,,Model IDs,Notes
Helicopters,SuperVolito,RWD,4,Buckingham,,,,,Elitas,"1,667,800",Main Page,Hangar & Pegasus,-,✔,✔,✔,15/12,2015,Executives & Other Criminals,"supervolito, supervolito2",Carbon version identical
Helicopters,Swift,RWD,4,Buckingham,,,,,Elitas,"1,500,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,19/08,2014,San Andreas Flight School,swift,
Helicopters,Swift Deluxe,RWD,4,Buckingham,,,,,Elitas,"5,150,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,10/06,2015,Ill-Gotten Gains Part 1,swift2,
Helicopters,Valkyrie,RWD,4,Buckingham,,,,,Warstock,"3,790,500",Main Page,Hangar & Pegasus,-,✔,✔,✔,10/03,2015,Heists,"valkyrie, valkyrie2",
Helicopters,Volatus,RWD,4,Buckingham,,,,,Elitas,"2,295,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,07/06,2016,Finance and Felony,volatus,
Helicopters,Weaponized Conada,RWD,2,Buckingham,,,,,Warstock,"3,385,000",Main Page,Hangar,Property,✔,✔,✔,10/08,2023,San Andreas Mercenaries,conada2,
Industrial,Custom Flatbed,AWD,6,MTL,,,,,-,-,-,-,-,,✔,✔,17/06,2025,Money Fronts,flatbed2,
Industrial,Cutter,AWD,1,HVY,,,,,-,-,-,-,-,,,,17/09,2013,-,cutter,Only available in single player
Industrial,Dock Handler,FWD,1,HVY,,,,,-,-,-,-,-,,✔,✔,17/09,2013,-,handler,
Industrial,Dozer,AWD,1,HVY,,,,,Unlock,0,Arena Levels,Pegasus,-,,✔,✔,17/09,2013,-,bulldozer,Unlocked at Arena Sponsorship Tier 50
Industrial,Dump,RWD,1,HVY,,✔,,,Warstock,"1,000,000",Main Page,Pegasus,-,,✔,✔,17/09,2013,-,dump,
Industrial,Flatbed,AWD,2,MTL,,,,,-,-,-,-,-,,✔,✔,17/09,2013,-,flatbed,
Industrial,Guardian,AWD,6,Vapid,,✔,,,SSASA,"375,000",4 Door Tab,Garage,LSC,✔,✔,✔,10/03,2015,Heists,guardian,
Industrial,Mixer (3-Axle),RWD,2,HVY,,,,,Unlock,0,Arena Levels,Pegasus,-,,✔,✔,17/09,2013,-,mixer,Unlocked at Arena Sponsorship Tier 300
Industrial,Mixer (4-Axle),RWD,2,HVY,,,,,-,-,-,-,-,,✔,✔,17/09,2013,-,mixer2,
Industrial,Rubble,RWD,2,Jobuilt,,,,,-,-,-,-,-,,✔,✔,17/09,2013,-,rubble,
Industrial,Tipper (2-Axle),RWD,2,Brute,,,,,-,-,-,-,-,,✔,✔,17/09,2013,-,tiptruck,
Industrial,Tipper (3-Axle),RWD,2,Brute,,,,,-,-,-,-,-,,,,17/09,2013,-,tiptruck2,
Military,APC,AWD,4,HVY,,✔,,,Warstock,"3,092,250",Main Page,Garage,MOC,,✔,✔,13/06,2017,Gunrunning,apc,
Military,Barracks,RWD,10,HVY,,,,,Warstock,"450,000",Main Page,Pegasus,-,,✔,✔,17/09,2013,-,"barracks, barracks3",
Military,Barracks Semi,RWD,2,HVY,,,,,Unlock,0,Arena Levels,Pegasus,-,,✔,✔,17/09,2013,-,barracks2,Unlocked at Arena Sponsorship Tier 200
Military,Barrage,AWD,4,HVY,✔,,,,Warstock,"2,121,350",Main Page,Garage,MOC,,✔,✔,12/12,2017,Doomsday Heist,barrage,Rear Turret upgrade adds traction like a spoiler
Military,Chernobog,AWD,2,HVY,,,,,Warstock,"1,500,000",Main Page,Facility,Property,,✔,✔,12/12,2017,Doomsday Heist,chernobog,
Military,Crusader,AWD,4,Canis,,,,,Warstock,"225,000",Main Page,Pegasus,-,✔,✔,✔,17/09,2013,-,crusader,
Military,Half-Track,RWD,3,Bravado,,,,,Warstock,"2,254,350",Main Page,Garage,MOC,,✔,✔,13/06,2017,Gunrunning,halftrack,
Military,Invade and Persuade Tank,AWD,1,-,,,,,Warstock,"2,275,000",Main Page,Pegasus,LSC,,,,25/12,2019,Diamond Casino Heist,minitank,
Military,Rhino Tank,AWD,1,-,,,,,Warstock,"1,500,000",Main Page,Pegasus,-,,✔,✔,17/09,2013,-,rhino,
Military,Scarab,AWD,4,HVY,,,,✔,ArenaWar,"3,076,290",Arena Ready Tab,Garage,LSC & Property,,,✔,11/12,2018,Arena War,"scarab, scarab2, scarab3",
Military,Thruster,RWD,1,Mammoth,,,,,Warstock,"2,500,000",Main Page,Facility,Property,,✔,,12/12,2017,Doomsday Heist,thruster,
Military,TM-02 Khanjali,AWD,4,-,,,,,Warstock,"3,850,350",Main Page,Facility,Property,,✔,✔,12/12,2017,Doomsday Heist,khanjali,
Military,Vetir,RWD,10,-,,,,,Warstock,"1,630,000",Main Page,Pegasus,-,,,,28/01,2021,Cayo Perico Heist,vetir,
Motorcycles,Akuma,RWD,2,Dinka,,,,,SSASA,"9,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,17/09,2013,-,akuma,
Motorcycles,Avarus,RWD,1,LCC,✔,,,,SSASA,"116,000",18 June 2026,Garage & Clubhouse,LSC,✔,✔,✔,04/10,2016,Bikers,avarus,Belt drive cover modification adds traction like a spoiler
Motorcycles,Bagger,RWD,2,Western,,,,,SSASA,"16,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,17/09,2013,-,bagger,
Motorcycles,Bati 801,RWD,2,Pegassi,,,,,SSASA,"15,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,17/09,2013,-,"bati, bati2",
Motorcycles,BF400,RWD,2,Nagasaki,,✔,,,SSASA,"95,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,12/07,2016,Cunning Stunts,bf400,
Motorcycles,Carbon RS,RWD,2,Nagasaki,,,,,L.Motorsport,"40,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,,,17/09,2013,-,carbonrs,
Motorcycles,Chimera,RWD,1,Nagasaki,✔,✔,,,SSASA,"210,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,04/10,2016,Bikers,chimera,Belt drive cover modification adds traction like a spoiler
Motorcycles,Cliffhanger,RWD,2,Western,,✔,,,SSASA,"225,000",4 June 2026,Garage & Clubhouse,LSC,✔,✔,✔,19/07,2016,Cunning Stunts,cliffhanger,
Motorcycles,Daemon,RWD,2,Western,✔,,,,SSASA,"145,000",14 May 2026,Garage & Clubhouse,LSC,✔,✔,✔,11/10,2016,Bikers,daemon2,Belt drive cover modification adds traction like a spoiler
Motorcycles,Daemon (Lost),RWD,2,Western,✔,,,,Traffic,0,Traffic Spawn,Garage & Clubhouse,LSC,✔,✔,✔,17/09,2013,-,daemon,Rear seat modification adds traction like a spoiler
Motorcycles,Deathbike,RWD,1,Western,,✔,,✔,Upgrade,"1,389,000",Arena Workshop,Garage & Clubhouse,LSC & Property,,,✔,11/12,2018,Arena War,"deathbike, deathbike2, deathbike3",Acquired by upgrading Gargoyle in Arena Workshop
Motorcycles,Defiler,RWD,1,Shitzu,✔,,,,SSASA,"412,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,04/10,2016,Bikers,defiler,Headlight modification adds traction like a spoiler
Motorcycles,Diabolus,RWD,1,Principe,,,,,Benny's,"169,000",Main Page,Garage & Clubhouse,LSC,✔,✔,✔,13/12,2016,Import/Export,diablous,
Motorcycles,Diabolus Custom,RWD,1,Principe,✔,,,,Upgrade,"414,000",Benny's Workshop,Garage & Clubhouse,LSC,✔,✔,✔,13/12,2016,Import/Export,diablous2,Acquired by upgrading Diabolus in Benny's. Headlight modification adds traction like a spoiler
Motorcycles,Double-T,RWD,2,Dinka,,,,,SSASA,"12,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,,,17/09,2013,-,double,
Motorcycles,Enduro,RWD,2,Dinka,,✔,,,SSASA,"48,000",11 June 2026,Garage & Clubhouse,LSC,✔,✔,✔,10/03,2015,Heists,enduro,
Motorcycles,Esskey,RWD,2,Pegassi,✔,✔,,,SSASA,"264,000",2 July 2026,Garage & Clubhouse,LSC,✔,✔,✔,15/11,2016,Bikers,esskey,Headlight modification adds traction like a spoiler
Motorcycles,Faggio,RWD,2,Pegassi,,,,,SSASA,"5,000",Traffic Spawn,Garage & Clubhouse,LSC,✔,✔,✔,17/09,2013,-,faggio2,
Motorcycles,Faggio Mod,RWD,2,Pegassi,✔,,,,SSASA,"55,000",31 August 2023,Garage & Clubhouse,LSC,✔,✔,✔,04/10,2016,Bikers,faggio3,Front antenna modification adds traction like a spoiler
Motorcycles,Faggio Sport,RWD,2,Pegassi,,,,,SSASA,"47,500",4 July 2024,Garage & Clubhouse,LSC,✔,✔,✔,04/10,2016,Bikers,faggio,
Motorcycles,FCR 1000,RWD,1,Pegassi,,,,,Benny's,"135,000",Main Page,Garage & Clubhouse,LSC,✔,✔,✔,02/01,2017,Import/Export,fcr,
Motorcycles,FCR 1000 Custom,RWD,1,Pegassi,✔,,,,Upgrade,"331,000",Benny's Workshop,Garage & Clubhouse,LSC,✔,✔,✔,02/01,2017,Import/Export,fcr2,Acquired by upgrading FCR 1000 in Benny's. Fairing modification adds traction like a spoiler
Motorcycles,Gargoyle,RWD,2,Western,,✔,,,SSASA,"120,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,12/07,2016,Cunning Stunts,gargoyle,
Motorcycles,Hakuchou,RWD,2,Shitzu,,,,,SSASA,"82,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,02/10,2014,Last Team Standing,hakuchou,
Motorcycles,Hakuchou Drag,RWD,2,Shitzu,,,,,L.Motorsport,"976,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,04/10,2016,Bikers,hakuchou2,
Motorcycles,Hakuchou Drag (HSW),RWD,2,Shitzu,,,,,Upgrade,"2,426,000",LSCM Workshop,Garage & Clubhouse,LSC & LSCM,✔,✔,✔,15/03,2022,Expanded & Enhanced Edition,hakuchou2_hsw,Acquired by upgrading Hakuchou Drag at Hao's Special Works
Motorcycles,Hexer,RWD,2,LCC,,,,,SSASA,"15,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,17/09,2013,-,hexer,
Motorcycles,Innovation,RWD,2,LCC,,,,,SSASA,"92,500",19 February 2026,Garage & Clubhouse,LSC,✔,✔,✔,02/10,2014,Last Team Standing,innovation,
Motorcycles,Lectro,RWD,2,Principe,,,,✔,L.Motorsport,"997,500",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,10/03,2015,Heists,lectro,
Motorcycles,Manchez,RWD,2,Maibatsu,,✔,,,SSASA,"67,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,04/10,2016,Bikers,manchez,
Motorcycles,Manchez Scout,RWD,1,Maibatsu,✔,✔,,,Warstock,"225,000",Main Page,Garage & Clubhouse,LSC,✔,✔,✔,14/01,2021,Cayo Perico Heist,manchez2,Top box modification adds traction like a spoiler
Motorcycles,Manchez Scout C,RWD,1,Maibatsu,,✔,,,Property,0,Listed Source,Freakshop,Property,,,,13/12,2022,Los Santos Drug Wars,manchez3,Only available with purchase of Acid Lab (Bricade 6x6)
Motorcycles,Nemesis,RWD,2,Principe,,,,,SSASA,"12,000",Traffic Spawn,Garage & Clubhouse,LSC,✔,✔,✔,17/09,2013,-,nemesis,
Motorcycles,Nightblade,RWD,2,Western,,,,,SSASA,"100,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,04/10,2016,Bikers,nightblade,
Motorcycles,Oppressor,RWD,1,Pegassi,✔,✔,,✔,Warstock,"2,750,000",Main Page,Garage & Clubhouse,MOC,,✔,✔,13/06,2017,Gunrunning,oppressor,1:00 lap time without boost. Can fly. Fairing modification adds traction like a spoiler
Motorcycles,Oppressor Mk II,RWD,1,Pegassi,,✔,,✔,Warstock,"8,000,000",Main Page,Garage & Clubhouse,MOC,,✔,,14/08,2018,After Hours,oppressor2,Disgraceful
Motorcycles,PCJ 600,RWD,2,Shitzu,,,,,SSASA,"9,000",Traffic Spawn,Garage & Clubhouse,LSC,✔,,,17/09,2013,-,pcj,
Motorcycles,Pizza Boy,RWD,1,Pegassi,,,,,SSASA,"195,000",Motorcycles Tab,Garage,LSC,✔,✔,✔,25/07,2024,Bottom Dollar Bounties,pizzaboy,
Motorcycles,Powersurge,RWD,1,Western,✔,,,,L.Motorsport,"1,605,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,29/12,2022,Los Santos Drug Wars,powersurge,Bodywork modification adds traction like a spoiler
Motorcycles,Rampant Rocket,RWD,1,Western,,✔,,,L.Motorsport,"925,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,31/10,2019,Diamond Casino & Resort,rrocket,
Motorcycles,Rat Bike,RWD,2,Western,✔,,,,SSASA,"48,000",28 May 2026,Garage & Clubhouse,LSC,✔,✔,✔,04/10,2016,Bikers,ratbike,Belt drive covers add traction like a spoiler
Motorcycles,Reever,RWD,1,Western,✔,,,,L.Motorsport,"1,900,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,03/02,2022,The Contract,reever,Backrest option adds traction like a spoiler
Motorcycles,Ruffian,RWD,2,Pegassi,,,,,SSASA,"10,000",Traffic Spawn,Garage & Clubhouse,LSC,✔,,,17/09,2013,-,ruffian,
Motorcycles,Sanchez,RWD,2,Maibatsu,,✔,,,SSASA,"7,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,17/09,2013,-,"sanchez, sanchez2",Sanchez 1 & 2 have identical performance and stats
Motorcycles,Sanctus,RWD,1,LCC,✔,,,,SSASA,"1,995,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,,,25/10,2016,Bikers,sanctus,Belt drive cover modification adds traction like a spoiler
Motorcycles,Shinobi,RWD,1,Nagasaki,,,,,L.Motorsport,"2,480,500",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,13/01,2022,The Contract,shinobi,
Motorcycles,Shotaro,RWD,1,Nagasaki,,,,,L.Motorsport,"2,225,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,08/11,2016,Bikers,shotaro,
Motorcycles,Sovereign,RWD,1,Western,,,,,SSASA,"120,000",10 July 2025,Garage & Clubhouse,LSC,✔,✔,✔,01/07,2014,Independence Day,sovereign,
Motorcycles,Stryder,RWD,2,Nagasaki,,,,,L.Motorsport,"670,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,05/03,2020,Diamond Casino Heist,stryder,
Motorcycles,Thrust,RWD,2,Dinka,,,,,L.Motorsport,"75,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,13/05,2014,High Life,thrust,
Motorcycles,Vader,RWD,2,Shitzu,,,,,SSASA,"9,000",Traffic Spawn,Garage & Clubhouse,LSC,✔,✔,✔,17/09,2013,-,vader,
Motorcycles,Vindicator,RWD,2,Dinka,,,,✔,L.Motorsport,"630,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,08/07,2015,Ill-Gotten Gains Part 2,vindicator,
Motorcycles,Vortex,RWD,1,Pegassi,✔,,,,SSASA,"356,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,25/10,2016,Bikers,vortex,Headlight modification adds traction like a spoiler
Motorcycles,Wolfsbane,RWD,2,Western,✔,,,,SSASA,"95,000",4 June 2026,Garage & Clubhouse,LSC,✔,✔,✔,04/10,2016,Bikers,wolfsbane,Belt drive cover modification adds traction like a spoiler
Motorcycles,Zombie Bobber,RWD,1,Western,✔,,,,SSASA,"99,000",14 May 2026,Garage & Clubhouse,LSC,✔,✔,✔,04/10,2016,Bikers,zombiea,Belt drive cover modification adds traction like a spoiler
Motorcycles,Zombie Chopper,RWD,2,Western,✔,,,,SSASA,"122,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,04/10,2016,Bikers,zombieb,Belt drive cover modification adds traction like a spoiler
Muscle,Arbiter GT,RWD,2,Imponte,✔,,,,SSASA,"1,580,000",2 Door Tab,Garage,LSC,✔,✔,✔,15/03,2022,Expanded & Enhanced Edition,arbitergt,
Muscle,Arbiter GT (HSW),RWD,2,Imponte,✔,,,,Upgrade,"1,936,250",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,15/03,2022,Expanded & Enhanced Edition,arbitergt_hsw,Acquired by upgrading Arbiter GT at Hao's Special Works
Muscle,Beater Dukes,RWD,2,Imponte,✔,,,,SSASA,"378,000",2 Door Tab,Garage,LSC,✔,✔,✔,11/08,2020,Los Santos Summer Special,dukes3,
Muscle,Blade,RWD,2,Vapid,✔,,,,SSASA,"160,000",2 July 2026,Garage,LSC,✔,✔,✔,17/06,2014,I'm Not A Hipster,blade,
Muscle,Brigham,RWD,4,Albany,✔,,✔,,SSASA,"999,400",4 Door Tab,Garage,LSC,✔,✔,✔,12/10,2023,San Andreas Mercenaries,brigham,Roof accessories modification adds traction like a spoiler
Muscle,Broadway,RWD,2,Classique,,,,,L.Motorsport,"925,000",2 Door Tab,Garage,LSC,✔,✔,✔,09/02,2023,Los Santos Drug Wars,broadway,
Muscle,Buccaneer,RWD,2,Albany,,,,,Benny's,"29,000",Main Page,Garage,LSC,✔,✔,✔,17/09,2013,-,buccaneer,
Muscle,Buccaneer Custom,RWD,2,Albany,,,,,Upgrade,"419,000",Benny's Workshop,Garage,LSC,✔,✔,✔,20/10,2015,Lowriders,buccaneer2,Acquired by upgrading Buccaneer in Benny's
Muscle,Buffalo EVX,AWD,2,Bravado,✔,,✔,,L.Motorsport,"2,140,000",2 Door Tab,Garage,LSC & Property,✔,✔,✔,22/06,2023,San Andreas Mercenaries,buffalo5,
Muscle,Buffalo EVX (HSW),AWD,2,Bravado,✔,,✔,,Upgrade,"3,555,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,22/06,2023,San Andreas Mercenaries,buffalo5_hsw,Acquired by upgrading Buffalo EVX at Hao's Special Works
Muscle,Buffalo STX,RWD,4,Bravado,✔,,✔,,SSASA,"2,150,000",4 Door Tab,Garage,LSC & Property,✔,✔,✔,15/12,2021,The Contract,buffalo4,
Muscle,Burger Shot Stallion,RWD,2,Declasse,,,,,SSASA,"277,000",2 Door Tab,Garage,LSC,✔,✔,✔,18/11,2014,Enhanced Edition,stalion2,
Muscle,Chino,RWD,2,Vapid,,,,,L.Motorsport,"225,000",2 Door Tab,Garage,LSC,✔,✔,✔,08/07,2015,Ill-Gotten Gains Part 2,chino,
Muscle,Chino Custom,RWD,2,Vapid,,,,,Upgrade,"405,000",Benny's Workshop,Garage,LSC,✔,✔,✔,20/10,2015,Lowriders,chino2,Acquired by upgrading Chino in Benny's
Muscle,Clique,RWD,2,Vapid,✔,✔,,,L.Motorsport,"909,000",11 June 2026,Garage,LSC,✔,✔,✔,25/12,2018,Arena War,clique,
Muscle,Clique Wagon,RWD,2,Vapid,,,✔,,SSASA,"1,205,000",2 Door Tab,Garage,LSC,✔,✔,✔,13/06,2023,San Andreas Mercenaries,clique2,
Muscle,Coquette BlackFin,RWD,2,Invetero,✔,,,,L.Motorsport,"695,000",11 June 2026,Garage,LSC,✔,✔,✔,08/07,2015,Ill-Gotten Gains Part 2,coquette3,
Muscle,Deviant,RWD,2,Schyster,✔,,,,L.Motorsport,"512,000",2 Door Tab,Garage,LSC,✔,✔,✔,07/02,2019,Arena War,deviant,
Muscle,Dominator,RWD,2,Vapid,✔,,,,SSASA,"35,000",2 Door Tab,Garage,LSC,✔,✔,✔,17/09,2013,-,dominator,
Muscle,Dominator (Arena),RWD,2,Vapid,✔,,,✔,Upgrade,"1,167,000",Arena Workshop,Garage,LSC & Property,,,✔,11/12,2018,Arena War,"dominator4, dominator5, dominator6",Acquired by upgrading Dominator in Arena Workshop. Future Shock version has no spoiler & goes 2.5s slower than listed lap time
Muscle,Dominator ASP,RWD,2,Vapid,DF=1.5,,✔,,SSASA,"1,775,000",2 Door Tab,Garage,LSC,✔,✔,✔,05/08,2021,Los Santos Tuners,dominator7,"Has ""downforce"" handling line by default but a non-stock spoiler is still needed"
Muscle,Dominator FX,RWD,2,Vapid,✔,,✔,,SSASA,"1,550,000",2 Door Tab,Garage,LSC,✔,✔,✔,25/07,2024,Bottom Dollar Bounties,dominator10,
Muscle,Dominator GT,RWD,2,Vapid,✔,,✔,,SSASA,"2,195,000",2 Door Tab,Garage,LSC,✔,✔,✔,12/12,2023,Chop Shop,dominator9,
Muscle,Dominator GTT,RWD,2,Vapid,✔,,✔,,SSASA,"1,220,000",2 Door Tab,Garage,LSC,✔,✔,✔,20/07,2021,Los Santos Tuners,dominator8,
Muscle,Dominator GTX,RWD,2,Vapid,✔,✔,,,SSASA,"725,000",2 Door Tab,Garage,LSC,✔,✔,✔,08/05,2018,SSA Super Sport Series,dominator3,
Muscle,Drift Yosemite,RWD,2,Declasse,✔,,,,SSASA,"1,308,000",2 Door Tab,Garage,LSC,✔,✔,✔,06/02,2020,Diamond Casino Heist,yosemite2,
Muscle,Duke O'Death,RWD,2,Imponte,,,,,Warstock,"665,000",Main Page,Garage,LSC,✔,✔,✔,18/11,2014,Enhanced Edition,dukes2,
Muscle,Dukes,RWD,2,Imponte,✔,,,,SSASA,"62,000",2 Door Tab,Garage,LSC,✔,✔,✔,18/11,2014,Enhanced Edition,dukes,
Muscle,Ellie,RWD,2,Vapid,,,,,SSASA,"565,000",2 Door Tab,Garage,LSC,✔,✔,✔,27/03,2018,SSA Super Sport Series,ellie,
Muscle,Eudora,RWD,4,Willard,✔,,,,SSASA,"1,250,000",4 Door Tab,Garage,LSC,✔,✔,✔,16/03,2023,Los Santos Drug Wars,eudora,Roof rack modifications adds traction like a spoiler
Muscle,Faction,RWD,2,Willard,,,,,Benny's,"36,000",Main Page,Garage,LSC,✔,✔,✔,20/10,2015,Lowriders,faction,
Muscle,Faction Custom,RWD,2,Willard,,,,,Upgrade,"371,000",Benny's Workshop,Garage,LSC,✔,✔,✔,20/10,2015,Lowriders,faction2,Acquired by upgrading Faction in Benny's
Muscle,Faction Custom Donk,RWD,2,Willard,,,,,Upgrade,"731,000",Benny's Workshop,Garage,LSC,✔,✔,✔,15/03,2016,Lowriders: Custom Classics,faction3,Acquired by upgrading Faction in Benny's
Muscle,Gauntlet,RWD,2,Bravado,,,,,SSASA,"32,000",2 Door Tab,Garage,LSC,✔,✔,✔,17/09,2013,-,gauntlet,
Muscle,Gauntlet Classic,RWD,2,Bravado,✔,,,,SSASA,"615,000",2 Door Tab,Garage,LSC,✔,✔,✔,08/08,2019,Diamond Casino & Resort,gauntlet3,
Muscle,Gauntlet Classic Custom,RWD,2,Bravado,✔,,,,Upgrade,"815,000",Benny's Workshop,Garage,LSC,✔,,✔,11/08,2020,Los Santos Summer Special,gauntlet5,Acquired by upgrading Gauntlet Classic in Benny's
Muscle,Gauntlet Hellfire,RWD,2,Bravado,✔,,,,SSASA,"745,000",2 Door Tab,Garage,LSC,✔,✔,✔,05/09,2019,Diamond Casino & Resort,gauntlet4,
Muscle,Greenwood,RWD,4,Bravado,✔,,✔,,SSASA,"1,465,000",4 Door Tab,Garage,LSC & Property,✔,✔,✔,26/07,2022,Criminal Enterprises,greenwood,
Muscle,Hermes,RWD,2,Albany,,,,,SSASA,"535,000",2 Door Tab,Garage,LSC,✔,✔,✔,25/12,2017,Doomsday Heist,hermes,
Muscle,Hotknife,RWD,2,Vapid,,,,,L.Motorsport,"90,000",2 Door Tab,Garage,LSC,✔,✔,✔,17/09,2013,-,hotknife,
Muscle,Hustler,RWD,2,Vapid,,,,,L.Motorsport,"625,000",11 June 2026,Garage,LSC,✔,✔,✔,13/02,2018,Doomsday Heist,hustler,
Muscle,Impaler,RWD,2,Declasse,✔,✔,,,SSASA,"331,835",2 Door Tab,Garage,LSC,✔,✔,✔,11/12,2018,Arena War,impaler,
Muscle,Impaler (Arena),RWD,2,Declasse,✔,✔,,✔,Upgrade,"1,541,335",Arena Workshop,Garage,LSC & Property,,,✔,11/12,2018,Arena War,"impaler2, impaler3, impaler4",Acquired by upgrading Impaler in Arena Workshop. Trunk modification adds traction like a spoiler
Muscle,Impaler LX,RWD,2,Declasse,✔,✔,,,SSASA,"1,465,000",4 Door Tab,Garage,LSC,✔,✔,✔,12/12,2023,Chop Shop,impaler6,
Muscle,Impaler SZ,RWD,4,Declasse,✔,,,,SSASA,"1,280,000",4 Door Tab,Garage,LSC,✔,✔,✔,22/02,2024,Chop Shop,impaler5,
Muscle,Imperator,RWD,2,Vapid,,,,✔,ArenaWar,"2,284,940",Arena Ready Tab,Garage,LSC & Property,,,✔,11/12,2018,Arena War,"imperator, imperator2, imperator3",
Muscle,Lost Slamvan,RWD,4,Vapid,,,,,Casino,0,Lucky Wheel,Garage,LSC,✔,,,10/03,2015,Heists,slamvan2,Can only be won as a mystery prize on the Lucky Wheel in the Casino with a 1/19460 chance
Muscle,Lurcher,RWD,2,Albany,,,,,SSASA,"650,000",2 Door Tab,Garage,LSC,✔,,,29/10,2015,Halloween Surprise,lurcher,
Muscle,Manana Custom,RWD,2,Albany,,,,,Upgrade,"935,000",Benny's Workshop,Garage,LSC,✔,✔,✔,11/08,2020,Los Santos Summer Special,manana2,Acquired by upgrading Manana in Benny's
Muscle,Moonbeam,RWD,4,Declasse,,,,,Benny's,"32,500",Main Page,Garage,LSC,✔,✔,✔,20/10,2015,Lowriders,moonbeam,
Muscle,Moonbeam Custom,RWD,4,Declasse,✔,,,,Upgrade,"402,500",Benny's Workshop,Garage,LSC,✔,✔,✔,20/10,2015,Lowriders,moonbeam2,Acquired by upgrading Moonbeam in Benny's. Tailgate spare wheel modification adds traction like a spoiler
Muscle,Nightshade,RWD,2,Imponte,✔,✔,,,L.Motorsport,"585,000",2 Door Tab,Garage,LSC,✔,✔,✔,15/12,2015,Executives & Other Criminals,nightshade,
Muscle,Peyote Gasser,RWD,2,Vapid,,,,,SSASA,"805,000",2 Door Tab,Garage,LSC,✔,✔,✔,28/11,2019,Diamond Casino & Resort,peyote2,
Muscle,Phoenix,RWD,2,Imponte,✔,,,,Traffic,0,Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,phoenix,
Muscle,Picador,AWD,2,Cheval,✔,,,,SSASA,"9,000",Traffic Spawn,Garage,LSC,✔,,,17/09,2013,-,picador,
Muscle,Pisswasser Dominator,RWD,2,Vapid,✔,,,,SSASA,"315,000",2 Door Tab,Garage,LSC,✔,✔,✔,18/11,2014,Enhanced Edition,dominator2,
Muscle,Rat-Loader,RWD,2,Bravado,,,,,SSASA,"6,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,ratloader,
Muscle,Rat-Truck,RWD,2,Bravado,,,,,SSASA,"37,500",2 Door Tab,Garage,LSC,✔,✔,✔,18/12,2014,Festive Surprise 2014,ratloader2,
Muscle,Redwood Gauntlet,RWD,2,Bravado,,,,,SSASA,"230,000",2 Door Tab,Garage,LSC,✔,✔,✔,18/11,2014,Enhanced Edition,gauntlet2,
Muscle,Ruiner,RWD,2,Imponte,✔,,,,SSASA,"10,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,"ruiner, ruiner3",
Muscle,Ruiner 2000,RWD,2,Imponte,,,,,Warstock,"3,750,000",Main Page,Warehouse,LSC,,✔,✔,13/12,2016,Import/Export,ruiner2,
