Created By Broughy1322,,"Ordered by class, then race tier where applicable, then lap time. More info -> https://broughy.com/cartesting",,,,,,
Class,Vehicle,Tier,Lap Time (m:ss.000),Lap Time Position,,Top Speed (mph),Top Speed Position,
Sports,Blista Compact,O,1:14.208,112,438,103.75,111,446
Sports,Go Go Monkey Blista,O,1:14.217,113,439,103.75,112,447
Sports (NR),Paragon R (Armored),-,1:01.426,1,78,122.5,2,139
Sports (NR),ZR380,-,1:02.112,2,91,142,1,20
Sports (NR),Veto Modern,-,1:11.204,3,372,83.5,3,604
Sports (NR),Veto Classic,-,1:14.925,4,455,79,4,614
Sports Classics,Turismo Classic (HSW),S,0:59.960,1,40,151.5,2,12
Sports Classics,Astrale (HSW),S,1:00.294,2,43,148.5,3,15
Sports Classics,Stirling GT (HSW),S,1:00.627,3,51,156.25,1,9
Sports Classics,Uranus LozSpeed,A,1:03.230,4,124,118.25,21,228
Sports Classics,LSCM Cheetah Classic,A,1:03.413,5,126,119,18,211
Sports Classics,Itali Classic,A,1:03.648,6,130,121.75,9,156
Sports Classics,Astrale,A,1:03.697,7,133,126,5,87
Sports Classics,Turismo Classic,A,1:03.847,8,139,121,12,170
Sports Classics,Cheetah Classic,A,1:04.082,9,155,120,15,189
Sports Classics,Ardent,A,1:04.265,10,166,118.75,19,219
Sports Classics,GT750,B,1:04.764,11,185,120.5,13,180
Sports Classics,Rapid GT Classic,B,1:05.148,12,195,119.75,17,196
Sports Classics,Retinue Mk II,B,1:05.165,13,196,120.25,14,186
Sports Classics,Torero,B,1:05.182,14,199,116.5,26,262
Sports Classics,Stirling GT,C,1:05.715,15,219,113,28,317
Sports Classics,Infernus Classic,C,1:06.049,16,227,118.75,20,221
Sports Classics,Swinger,C,1:06.183,17,233,117,25,250
Sports Classics,Viseris,C,1:06.533,18,247,124,6,117
Sports Classics,Coquette D1,D,1:07.050,19,262,123.75,7,121
Sports Classics,Savestra,D,1:07.167,20,264,118,23,238
Sports Classics,Zion Classic,D,1:07.501,21,277,112.75,29,324
Sports Classics,Retinue,D,1:07.935,22,290,116,27,275
Sports Classics,Z-Type,E,1:08.936,23,305,127,4,75
Sports Classics,Pigalle,E,1:08.969,24,306,121.75,10,157
Sports Classics,190z,F,1:09.887,25,332,110,34,362
Sports Classics,Casco,F,1:09.903,26,333,121.5,11,163
Sports Classics,Monroe,G,1:10.587,27,352,123.25,8,126
Sports Classics,Coquette Classic,G,1:10.671,28,354,118.25,22,233
Sports Classics,Mamba,H,1:11.454,29,377,118,24,241
Sports Classics,JB 700,H,1:11.571,30,381,120,16,193
Sports Classics,Michelli GT,I,1:12.138,31,395,106,37,413
Sports Classics,GT500,I,1:12.139,32,396,111.5,32,347
Sports Classics,Stinger GT,I,1:12.289,33,400,112.25,30,339
Sports Classics,Cheburek,I,1:12.339,34,403,108.5,35,382
Sports Classics,Stinger,I,1:12.622,35,409,112.25,31,340
Sports Classics,Roosevelt Valor,J,1:14.925,36,454,98.75,40,509
Sports Classics,Peyote Custom,J,1:15.610,37,466,111,33,355
Sports Classics,Franken Stange,K,1:16.126,38,477,107,36,403
Sports Classics,Nebula Turbo,K,1:16.260,39,480,102.5,38,461
Sports Classics,Roosevelt,K,1:16.497,40,486,98.75,41,510
Sports Classics,Tornado Rat Rod,L,1:17.510,41,501,99.5,39,497
Sports Classics,Fagaloa,L,1:18.395,42,512,87,50,587
Sports Classics,Manana,M,1:22.432,43,550,98.5,42,516
Sports Classics,Tornado Custom,N,1:23.166,44,558,98.5,43,517
Sports Classics,Dynasty,N,1:23.301,45,559,93.25,49,561
Sports Classics,Peyote,N,1:23.517,46,561,98.5,44,518
Sports Classics,Tornado,O,1:25.084,47,572,98.5,45,519
Sports Classics,Tornado Cabrio,O,1:25.088,48,573,98.5,46,520
Sports Classics,Tornado Beater,O,1:25.096,49,574,98.5,47,521
Sports Classics,Tornado Mariachi,O,1:25.099,50,575,98.5,48,522
Sports Classics (NR),Toreador,-,0:56.624,1,11,135.25,1,33
Sports Classics (NR),Deluxo,-,1:06.500,2,244,127.25,2,73
Sports Classics (NR),Stromberg,-,1:07.351,3,267,112.75,4,323
Sports Classics (NR),JB 700W,-,1:11.554,4,380,120,3,192
Supers,FMJ MK V (HSW),S,0:54.704,1,2,155.75,1,10
Supers,Weaponized Ignus (HSW),S,0:55.222,2,3,145,4,17
Supers,Cyclone II (HSW),S,0:55.823,3,5,141,5,22
Supers,Emerus,A,0:57.624,4,13,126.75,21,77
Supers,FMJ MK V,A,0:57.774,5,14,133.5,7,38
Supers,Turismo Omaggio,A,0:57.775,6,16,122.5,44,136
Supers,Weaponized Ignus,A,0:57.824,7,17,125,33,101
Supers,Krieger,A,0:57.924,8,18,128,14,60
Supers,Deveste Eight (HSW),A,0:58.209,9,19,151,3,14
Supers,Pipistrello,B,0:58.541,10,20,117.75,63,242
Supers,LM87,B,0:58.658,11,21,127.5,16,65
Supers,Ignus,B,0:58.742,12,22,125,34,102
Supers,Vagner,B,0:58.892,13,23,126.75,22,78
Supers,Thrax,B,0:58.893,14,24,123.75,38,118
Supers,S80RR,B,0:58.959,15,25,123,43,127
Supers,RE-7B,B,0:59.076,16,26,123.5,40,122
Supers,Virtue,B,0:59.293,17,29,119.5,59,199
Supers,XA-21,C,0:59.459,18,31,122.5,45,137
Supers,X-treme,C,0:59.526,19,32,127.25,19,69
Supers,Suzume,C,0:59.543,20,33,126.5,23,79
Supers,Torero XO,C,0:59.577,21,35,131.5,8,43
Supers,Tigon,C,0:59.643,22,36,125.5,30,94
Supers,Cyclone II,C,0:59.660,23,37,119.25,60,208
Supers,Autarch,C,0:59.776,24,39,126,28,84
Supers,Deveste Eight,D,1:00.010,25,41,131.25,9,44
Supers,Tempesta,D,1:00.243,26,42,121.5,54,158
Supers,Visione,D,1:00.411,27,45,124.75,37,112
Supers,Entity MT (HSW),D,1:00.494,28,47,151.25,2,13
Supers,ETR1,D,1:00.593,29,48,121.25,55,164
Supers,Furia,E,1:00.594,30,49,121.75,52,154
Supers,X80 Proto,E,1:00.677,31,54,128.25,13,57
Supers,Tezeract,E,1:00.678,32,55,125.75,29,91
Supers,T20,E,1:00.778,33,56,122.5,46,138
Supers,Osiris,E,1:00.794,34,57,122,50,147
Supers,Zorrusso,E,1:00.815,35,59,125,35,103
Supers,Nero Custom,E,1:00.827,36,60,127,20,74
Supers,Tyrant,E,1:00.860,37,63,126.5,24,80
Supers,Zentorno,E,1:00.878,38,66,122.25,48,144
Supers,Luiva,E,1:01.094,39,69,136.25,6,29
Supers,Tyrus,E,1:01.210,40,70,123.25,41,124
Supers,Itali GTB,F,1:01.311,41,71,125.25,32,98
Supers,Cyclone,F,1:01.312,42,72,116,64,271
Supers,Zeno,F,1:01.328,43,73,128,15,62
Supers,Nero,F,1:01.394,44,76,126.25,25,81
Supers,FMJ,F,1:01.428,45,79,125.5,31,95
Supers,Turismo R,F,1:01.578,46,80,122.5,47,140
Supers,Entity XF,F,1:01.678,47,81,122.25,49,145
Supers,Penetrator,G,1:01.862,48,84,123.25,42,125
Supers,Reaper,G,1:02.112,49,91,122,51,150
Supers,Itali GTB Custom,G,1:02.145,50,93,127.5,17,67
Supers,Cheetah,G,1:02.396,51,97,120.75,56,174
Supers,Infernus,G,1:02.462,52,99,118,62,235
Supers,811,H,1:02.946,53,109,130.75,11,50
Supers,SC1,H,1:03.030,54,114,121.75,53,155
Supers,GP1,H,1:03.097,55,117,123.75,39,119
Supers,Entity MT,H,1:03.196,56,120,131.25,10,46
Supers,Vacca,I,1:03.864,57,142,120.5,57,178
Supers,Banshee 900R,I,1:03.930,58,146,130.25,12,53
Supers,Sultan RS,I,1:04.030,59,148,118.25,61,229
Supers,Entity XXR,I,1:04.081,60,153,127.5,18,68
Supers,Adder,I,1:04.365,61,168,126.25,26,82
Supers,Champion,I,1:04.532,62,173,125,36,105
Supers,Voltic,J,1:05.315,63,206,106.25,65,409
Supers,Taipan,J,1:05.699,64,217,126.25,27,83
Supers,Bullet,K,1:07.450,65,271,119.75,58,198
Supers (NR),Vigilante,-,0:55.872,1,6,146.75,1,16
Supers (NR),Scramjet,-,0:57.775,2,15,130.75,2,48
Supers (NR),Rocket Voltic,-,0:59.209,3,27,124.75,3,111
SUVs,Vivanite (HSW),S,1:03.714,1,134,128,5,64
SUVs,Astron Custom (HSW),S,1:03.797,2,135,136.25,3,30
SUVs,Castigator,S,1:03.864,3,141,126,6,88
SUVs,Woodlander (HSW),S,1:03.913,4,145,136.5,2,27
SUVs,Everon RS,S,1:04.147,5,159,125.75,7,92
SUVs,Baller ST-D,S,1:04.214,6,163,118.25,12,230
SUVs,Toros,S,1:04.765,7,186,128.25,4,58
SUVs,Novak,A,1:05.683,8,216,123,8,131
SUVs,Issi Rally (HSW),A,1:05.749,9,220,138.5,1,24
SUVs,Astron,A,1:05.999,10,225,119.5,10,204
SUVs,Rebla GTS,A,1:06.565,11,250,123,9,132
SUVs,Astron Custom,A,1:06.567,12,251,119,11,216
SUVs,Jubilee,B,1:08.101,13,293,116.25,14,269
SUVs,Baller ST,B,1:08.118,14,295,112,17,341
SUVs,Vivanite,B,1:08.452,15,297,105.5,29,417
SUVs,I-Wagen,C,1:08.985,16,307,94,52,555
SUVs,Woodlander,C,1:09.035,17,310,112.5,16,331
SUVs,Issi Rally,C,1:09.219,18,316,117,13,254
SUVs,Contender,C,1:09.270,19,319,109,20,372
SUVs,Cavalcade XL,C,1:09.470,20,322,104.25,32,436
SUVs,XLS (Armored),D,1:10.888,21,363,108.5,22,381
SUVs,Dorado,D,1:11.188,22,370,111,18,353
SUVs,Huntley S,E,1:12.239,23,398,109,21,373
SUVs,Aleutian,E,1:12.989,24,416,113.25,15,315
SUVs,Baller LE,E,1:13.374,25,424,109.25,19,371
SUVs,Baller,F,1:13.712,26,428,108.5,23,385
SUVs,Baller LE (Armored),F,1:13.796,27,431,108.5,24,386
SUVs,Baller LE LWB,F,1:13.874,28,432,108.5,25,387
SUVs,Granger 3600LX,F,1:14.124,29,436,97.5,48,529
SUVs,Baller LE LWB (Armored),F,1:14.292,30,440,108,26,392
SUVs,XLS,G,1:14.541,31,444,106,28,414
SUVs,Radius,G,1:14.601,32,446,105.5,30,420
SUVs,Rocoto,G,1:15.041,33,457,107.75,27,394
SUVs,Serrano,H,1:15.375,34,460,101.5,38,473
SUVs,Dubsta,H,1:15.409,35,461,102,36,467
SUVs,Granger,H,1:15.643,36,468,102.75,34,457
SUVs,Squaddie,H,1:15.743,37,470,102.5,35,459
SUVs,Seminole Frontier,I,1:16.326,38,482,100,41,489
SUVs,Landstalker XL,I,1:16.526,39,487,101,40,482
SUVs,Dubsta 2,I,1:16.543,40,489,102,37,469
SUVs,Landstalker,J,1:17.160,41,499,100,42,490
SUVs,FQ2,J,1:17.411,42,500,104,33,442
SUVs,Habanero,J,1:17.711,43,503,105.5,31,424
SUVs,Gresley,J,1:18.094,44,508,101.25,39,475
SUVs,Baller (Old),K,1:18.863,45,519,100,43,492
SUVs,BeeJay XL,K,1:19.012,46,521,97.5,49,531
SUVs,Cavalcade,K,1:19.109,47,522,98.5,45,514
SUVs,Cavalcade (Old),K,1:19.125,48,523,98.5,46,515
SUVs,Mesa,L,1:19.613,49,531,95.5,51,544
SUVs,Seminole,L,1:20.263,50,535,97.75,47,528
SUVs,Patriot,M,1:21.866,51,545,98.75,44,512
SUVs,Patriot Stretch,M,1:24.050,52,567,96.75,50,535
Utility,Sadler,S,1:18.945,1,520,99.5,1,498
Utility,Keitora,A,1:25.936,2,581,87,4,588
Utility,Slamtruck,A,1:28.956,4,593,99.5,2,503
Utility,Caddy,B,1:39.115,7,611,66.75,11,638
Utility,Fieldmaster,C,2:51.472,17,657,33,17,657
Utility,Airtug,D,3:22.636,18,661,29.25,18,661
Utility,Lawn Mower,E,6:28.204,20,664,14.75,20,664
Utility,Tow Truck (Small),-,1:28.741,3,590,87,5,589
Utility,Tow Truck (Salvage Yard),-,1:29.861,5,596,91.5,3,565
Utility,Tow Truck (Large),-,1:35.811,6,604,83.5,6,605
Utility,Caddy (Civilian),-,1:39.161,8,613,66.75,12,639
Utility,Utility Truck (Pickup),-,1:40.101,9,617,78.25,8,615
Utility,Utility Truck (Cargo),-,1:41.652,10,620,78.25,9,616
Utility,Utility Truck (Cherry Picker),-,1:43.480,11,624,78.25,10,617
Utility,Scrap Truck,-,1:44.038,12,628,79.75,7,611
Utility,Ripley,-,1:54.014,13,648,56.25,13,651
Utility,Docktug,-,1:55.887,14,649,56,14,652
Utility,Caddy (Bunker),-,2:07.770,15,653,48,15,653
Utility,Forklift,-,2:43.408,16,656,35.75,16,656
Utility,Tractor,-,3:22.991,19,662,28.75,19,662
Vans,Gang Burrito,S,1:16.710,1,492,105.5,1,423
Vans,Rumpo Custom,S,1:17.026,2,496,98.75,7,511
Vans,Speedo Custom,A,1:18.746,3,517,104,2,443
Vans,Minivan Custom,A,1:19.263,4,524,95.25,14,548
Vans,Bison,A,1:19.529,5,530,99.5,4,499
Vans,Youga Classic 4x4,B,1:20.796,6,540,95.5,12,545
Vans,Pony (SOTW),B,1:21.231,7,542,98,9,526
Vans,Bugstars Burrito,C,1:21.848,8,544,98.25,8,525
Vans,Speedo,C,1:21.965,9,547,101.25,3,477
Vans,Youga,D,1:22.516,10,551,96.5,11,540
Vans,Minivan,D,1:22.632,11,552,95.25,15,549
Vans,Rumpo,D,1:22.766,12,554,99.5,5,501
Vans,Paradise,D,1:22.799,13,555,99.5,6,502
Vans,Bobcat XL,E,1:24.551,14,570,95.5,13,546
Vans,Clown Van,F,1:26.353,15,583,94.25,16,554
Vans,Pony,F,1:26.603,16,584,91.25,17,566
Vans,Youga Custom,G,1:28.638,17,589,97.25,10,532
Vans,Youga Classic,G,1:29.289,18,594,91,18,571
Vans,Journey II,H,1:40.184,19,618,79.25,19,613
Vans,Camper,I,1:43.887,20,626,72.5,21,627
Vans,Surfer Custom,J,1:45.438,21,634,69.75,24,635
Vans,Journey,J,1:45.839,22,635,74.25,20,624
Vans,Taco Van,K,1:46.607,23,636,71,23,632
Vans,Boxville,K,1:47.324,24,639,71.5,22,630
Vans,Surfer,K,1:48.676,25,641,67.25,25,636
Vans,Surfer Beater,K,1:48.692,26,642,67.25,26,637
Vans (NR),Armored Boxville,-,1:20.764,1,539,87.5,3,585
Vans (NR),Burrito,-,1:28.154,2,586,90.75,1,575
Vans (NR),Gang Burrito (Lost),-,1:28.189,3,587,90.75,2,576
