Created By Broughy1322,,"This sheet contains actual vehicle attributes taken directly from the game code. The most important attributes to vehicle performance are shown in an easy to read & understand format, but for the full story please see ""Handling Data (Full)"" sheet.",,,,,,,,,,,,,,,
Class,Vehicle,Speed,,,,,Acceleration,,,,,Braking,,Traction,,,Collisions
Muscle,Buccaneer,0.28,100,0.336,8.5,146,RWD,0%,5,1.3,1.3,0.8,0.65,2.15,1.75,1,"1,600"
Muscle,Buccaneer Custom,0.28,100,0.336,8.5,146,RWD,0%,5,1.3,1.3,0.8,0.65,2.15,1.75,1,"1,600"
Muscle,Buffalo EVX,0.382,100,0.458,11,156.65,AWD,30%,5,5,5,0.985,0.44,2.42,2.185,1,1820
Muscle,Buffalo EVX (HSW),0.382,125,0.478,11,156.65,AWD,30%,5,5,5,0.985,0.44,2.42,2.185,1,1820
Muscle,Buffalo STX,0.3425,100,0.411,10.2,159.5,RWD,0%,8,4.45,4.45,0.95,0.425,2.58,2.4,1,"1,800"
Muscle,Burger Shot Stallion,0.31,100,0.372,9.1,144,RWD,0%,5,1.9,1.9,0.7,0.65,2.25,1.8,1,"1,650"
Muscle,Chino,0.2,100,0.240,10,130,RWD,0%,4,1.9,1.9,0.6,0.65,2.05,1.85,1,"2,300"
Muscle,Chino Custom,0.21,100,0.252,10,130,RWD,0%,4,1.9,1.9,0.6,0.65,2.07,1.85,1,"2,400"
Muscle,Clique,0.3,125,0.375,9.5,150,RWD,0%,4,2.2,2.2,0.85,0.6,2.35,2.2,1,"1,250"
Muscle,Clique Wagon,0.198,200,0.277,11.5,118,RWD,0%,3,2.2,2.5,0.35,0.4895,2.08,1.91,1,1100
Muscle,Coquette BlackFin,0.29,100,0.348,9.5,151,RWD,0%,4,2.6,3,0.6,0.55,2.25,1.95,1,"1,400"
Muscle,Deviant,0.29,140,0.371,11,145,RWD,0%,4,2.4,2.4,0.5,0.65,2.25,2.1,1,"1,500"
Muscle,Dominator,0.29,100,0.348,6,145,RWD,0%,5,2,2,0.8,0.65,2.25,1.8,1,"1,600"
Muscle,Dominator (Arena),0.375,140,0.480,11.5,150,RWD,0%,5,2,2,0.8,0.65,2.35,2,0.7,"1,550"
Muscle,Dominator ASP,0.342,100,0.410,9.325,150.75,RWD,0%,5,6.2,6.2,0.92,0.514,2.535,2.415,1,"1,665"
Muscle,Dominator FX,0.3,170,0.402,8,153,RWD,0%,5,1.5,1.4,0.69,0.38,2.383,2.226,1,1200
Muscle,Dominator GT,0.3448,100,0.414,9.62,162,RWD,0%,6,2.1,2,0.93,0.425,2.545,2.409,0.9,"1,820"
Muscle,Dominator GTT,0.3027,175,0.409,9.65,145.3,RWD,0%,4,1.95,1.95,0.75,0.425,2.5,2.365,1,"1,465"
Muscle,Dominator GTX,0.335,100,0.402,10.5,145.5,RWD,0%,5,1.5,1.5,0.5,0.5,2.57,2.35,1,"1,670"
Muscle,Drift Yosemite,0.395,100,0.474,15.13,140,RWD,0%,6,4.2,4.5,0.85,0.6,2.625,2.395,1,"1,200"
Muscle,Duke O'Death,0.35,100,0.420,11.5,152,RWD,0%,4,2.4,2.4,0.9,0.65,2.26,1.95,1,"5,000"
Muscle,Dukes,0.32,100,0.384,9.5,144,RWD,0%,5,1.9,1.9,0.8,0.65,2.25,1.8,1,"1,600"
Muscle,Ellie,0.325,150,0.423,10.75,140.5,RWD,0%,5,1.5,1.5,0.5,0.5,2.55,2.15,1,"1,370"
Muscle,Eudora,0.195,180,0.265,6.55,138,RWD,0%,3,1.4,1.4,0.265,0.54,1.89,1.4785,1,"2,115"
Muscle,Faction,0.28,100,0.336,8,140,RWD,0%,5,1.9,1.9,0.8,0.65,2.25,1.8,1,"1,200"
Muscle,Faction Custom,0.28,100,0.336,8,140,RWD,0%,5,1.9,1.9,0.8,0.65,2.25,1.8,1,"1,200"
Muscle,Faction Custom Donk,0.2,100,0.240,10,140,RWD,0%,5,1.9,1.9,0.8,0.65,2.35,1.8,1,"1,400"
Muscle,Gauntlet,0.3,100,0.360,9,145,RWD,0%,5,1.9,1.9,0.9,0.425,2.5,2.35,1,"1,600"
Muscle,Gauntlet Classic,0.28,100,0.336,9.5,142,RWD,0%,5,1.9,1.9,0.9,0.425,2.5,2.35,1,"1,350"
Muscle,Gauntlet Classic Custom,0.29,180,0.394,8,158,RWD,0%,4,1.9,1.9,0.9,0.425,2.25,2.15,1,"1,700"
Muscle,Gauntlet Hellfire,0.36,180,0.490,10.75,155,RWD,0%,5,1.9,1.9,0.9,0.425,2.35,2.1,1,"1,940"
Muscle,Greenwood,0.282,90,0.333,6,143,RWD,0%,3,1.8,1.8,0.7,0.468,2.3,2.065,1,"1,650"
Muscle,Hermes,0.285,400,0.513,11.5,137,RWD,0%,4,2.2,2.5,0.775,0.56,2.375,1.9,1,"1,300"
Muscle,Hotknife,0.3,100,0.360,10,140,RWD,0%,5,2.3,2.3,0.43,0.5,1.85,1.65,0,700
Muscle,Hustler,0.3,400,0.540,10.5,140,RWD,0%,5,2.5,2.5,0.43,0.5,1.95,1.75,0,"1,000"
Muscle,Impaler,0.31,140,0.397,10.5,151,RWD,0%,4,2.2,2.2,0.6,0.7,2.35,1.8,1,"1,550"
Muscle,Impaler (Arena),0.38,140,0.486,10.5,155,RWD,0%,5,4.2,4.2,0.7,0.6,2.4,1.9,0.7,"1,400"
Muscle,Impaler LX,0.3,170,0.402,9,145,RWD,0%,4,1.4,1.3,0.7,0.426,2.135,2,1,"1,630"
Muscle,Impaler SZ,0.25375,170,0.340,6.75,144,RWD,0%,4,1.6,1.5,0.865,0.44,2.3,2.19,1,"1,830"
Muscle,Imperator,0.365,140,0.467,11,150,RWD,0%,4,3,3,0.5,0.65,2.25,2.1,0.7,"2,000"
Muscle,Lost Slamvan,0.25,300,0.400,10,135,RWD,0%,4,1.2,1.2,0.7,0.55,1.85,1.55,0,"1,300"
Muscle,Lurcher,0.29,100,0.348,8.5,146,RWD,0%,5,1.3,1.3,0.8,0.65,2.15,1.71,1,"1,800"
Muscle,Manana Custom,0.24,100,0.288,7.75,141.5,RWD,0%,4,1.45,1.45,0.275,0.65,1.98,1.72,1,"2,000"
Muscle,Moonbeam,0.21,100,0.252,6,125,RWD,0%,4,1.3,1.3,0.4,0.65,2,1.8,0.9,"2,400"
Muscle,Moonbeam Custom,0.21,100,0.252,6,125,RWD,0%,4,1.3,1.3,0.4,0.65,2,1.8,0.9,"2,400"
Muscle,Nightshade,0.25,60,0.280,10,145,RWD,0%,5,2.5,2.5,0.6,0.65,2.25,1.85,1,"1,400"
Muscle,Peyote Gasser,0.3445,180,0.469,11.15,148.5,RWD,0%,5,1.9,1.9,0.9,0.425,2.26,2.05,1,"2,100"
Muscle,Phoenix,0.28,100,0.336,8,145,RWD,0%,5,1.7,1.7,0.8,0.65,2.15,1.75,1,"1,700"
Muscle,Picador,0.22,70,0.251,8,135,AWD,40%,5,1.3,1.3,0.8,0.65,2.05,1.65,1,"1,600"
Muscle,Pisswasser Dominator,0.31,100,0.372,6,147,RWD,0%,5,2.3,2.3,0.9,0.65,2.3,1.85,1,"1,500"
Muscle,Rat-Loader,0.22,200,0.308,10,135,RWD,0%,4,1.2,1.2,0.4,0.6,1.65,1.25,0,"1,200"
Muscle,Rat-Truck,0.24,200,0.336,10,135,RWD,0%,4,1.2,1.2,0.7,0.6,1.75,1.3,0,"1,200"
Muscle,Redwood Gauntlet,0.315,100,0.378,9,147,RWD,0%,5,2.1,2.1,0.9,0.425,2.51,2.37,1,"1,500"
Muscle,Ruiner,0.28,100,0.336,6,145,RWD,0%,5,1.8,1.8,0.8,0.65,2.2,1.8,1,"1,300"
Muscle,Ruiner 2000,0.33,100,0.396,9,152,RWD,0%,5,2.5,2.5,1,0.65,2.1,1.8,1,"1,300"
Muscle,Ruiner ZZ-8,0.3085,70,0.352,8.7,151,RWD,0%,6,3.8,3.8,0.82,0.55,2.36,1.975,1,"1,590"
Muscle,Sabre Turbo,0.28,100,0.336,8,140,RWD,0%,5,1.9,1.9,0.8,0.65,2.25,1.8,1,"1,200"
Muscle,Sabre Turbo Custom,0.282,300,0.451,8,140,RWD,0%,5,2.1,2.1,0.82,0.65,2.26,1.8,1,"1,300"
Muscle,Slamvan,0.245,300,0.392,10,135,RWD,0%,4,1.2,1.2,0.6,0.7,1.65,1.25,0,"1,200"
Muscle,Slamvan (Arena),0.27,150,0.351,10.5,135.5,RWD,0%,4,1.8,2,0.4,0.45,1.85,1.51,1,"1,245"
Muscle,Slamvan Custom,0.25,300,0.400,10,135,RWD,0%,4,1.8,1.8,0.6,0.7,2.35,1.75,0,"1,400"
Muscle,Stallion,0.29,100,0.348,9.5,144,RWD,0%,5,1.9,1.9,0.7,0.65,2.25,1.8,1,"1,650"
Muscle,Tahoma Coupe,0.298,100,0.358,10.75,152,RWD,0%,3,1.9,1.9,0.625,0.4465,2.308,2.085,1.2,"1,380"
Muscle,Tampa,0.27,100,0.324,10,140,RWD,0%,4,1.9,1.9,0.8,0.65,2.25,1.8,1,"1,200"
Muscle,Tampa GT,0.37,120,0.459,8,160,RWD,0%,3,1,1,0.3,0.47,1.82,1.7,1,"1,800"
Muscle,Tampa GT (HSW),0.37,150,0.481,8,160,RWD,0%,3,1,1,0.3,0.47,1.82,1.7,1,"1,800"
Muscle,Tulip,0.32,140,0.410,9,147.5,RWD,0%,4,2.2,2.2,0.5,0.65,2.25,2.01,1,"1,545"
Muscle,Tulip M-100,0.3153,140,0.404,10.75,152,RWD,0%,3,1.9,1.9,0.68,0.4365,2.33,2.105,1.2,"1,400"
Muscle,Vamos,0.33,140,0.422,11,145,RWD,0%,4,4.9,4.9,0.5,0.65,2.25,2.1,1,"1,380"
Muscle,Vigero,0.29,100,0.348,8,140,RWD,0%,5,1.7,1.7,0.8,0.65,2.05,1.85,0.9,"1,800"
Muscle,Vigero ZX,0.3645,160,0.481,10.65,157.95,RWD,0%,6,3.9,3.9,0.95,0.435,2.585,2.41,1,"1,760"
Muscle,Vigero ZX (HSW),0.3645,200,0.510,10.65,157.95,RWD,0%,6,3.9,3.9,0.95,0.435,2.585,2.41,1,"1,760"
Muscle,Vigero ZX Convertible,0.3645,160,0.481,10.74,157.95,RWD,0%,6,3.9,3.9,0.95,0.435,2.585,2.415,1,"1,890"
Muscle,Vigero ZX Convertible (HSW),0.3645,200,0.510,10.74,157.95,RWD,0%,6,3.9,3.9,0.95,0.435,2.585,2.415,1,"1,890"
Muscle,Virgo,0.21,100,0.252,10,134,RWD,0%,5,1.9,1.9,0.7,0.65,2.05,1.8,1,"2,200"
Muscle,Virgo Classic,0.21,100,0.252,10,134,RWD,0%,5,1.9,1.9,0.7,0.65,2.05,1.8,1,"2,200"
Muscle,Virgo Classic Custom,0.211,300,0.338,10,134,RWD,0%,5,2,2,0.72,0.65,2.1,1.8,1,"2,300"
Muscle,Voodoo,0.17,100,0.204,6,130,RWD,0%,4,1.3,1.3,0.25,0.65,1.85,1.44,1,"2,100"
Muscle,Voodoo Custom,0.18,100,0.216,6,130,RWD,0%,4,1.3,1.3,0.7,0.65,1.85,1.44,1,"2,100"
Muscle,Weaponized Tampa,0.33,100,0.396,11,145,AWD,25%,4,4.9,4.9,0.5,0.65,2.25,2.1,1,"1,400"
Muscle,Weevil Custom,0.3375,400,0.608,8.95,159.85,RWD,0%,5,3.2,3.2,0.775,0.498,2.1075,1.817,1,780
Muscle,Yosemite,0.285,400,0.513,11.25,137,RWD,0%,4,2.2,2.5,0.75,0.7,2.375,1.9,1,"1,300"
Off-Road,Bifta,0.26,100,0.312,8,136,RWD,0%,5,2,2,0.7,0.58,2.05,1.95,0,"1,400"
Off-Road,Blazer,0.2,100,0.240,11,120,AWD,20%,5,2.3,2.3,1,0.65,2.6,2.4,0,600
Off-Road,Blazer Aqua,0.272,100,0.326,11,125,AWD,50%,6,2.3,2.3,1,0.65,2.7,2.5,0.1,550
Off-Road,Blazer Lifeguard,0.12,100,0.144,11,110,AWD,20%,5,1.3,1.3,0.8,0.65,2,1.8,0,650
Off-Road,Bodhi,0.215,100,0.258,11,134,AWD,30%,5,1.2,1.3,1.1,0.6,2.25,2.12,0,"2,600"
Off-Road,Boor,0.267,220,0.384,11,149,AWD,43%,4,1.9,1.9,0.68,0.58,2.065,1.8185,0.85,930
Off-Road,Brawler,0.28,100,0.336,8,140,AWD,9%,5,2,2,0.88,0.62,1.92,1.8,0,"2,100"
Off-Road,Bruiser,0.26,100,0.312,12,130,RWD,0%,5,2.3,4.3,0.5,0.6,1.75,1.45,0.3,"6,000"
Off-Road,Brutus,0.27,125,0.338,10,140,AWD,40%,8,2.8,2.8,0.6,0.6,2,1.75,0.5,"3,500"
Off-Road,Caracara,0.27,100,0.324,12.5,135,AWD,30%,5,4.3,4.3,0.27,0.65,2.25,1.9,0.15,"3,500"
Off-Road,Caracara 4x4,0.27,100,0.324,12,138,AWD,50%,6,4.3,4.3,0.3,0.65,2.05,1.8,0.15,"2,480"
Off-Road,Desert Raid,0.339,100,0.407,13,140,AWD,50%,5,4.3,4.3,0.3,0.65,2.5,2.1,0.15,"2,200"
Off-Road,Draugur,0.3425,100,0.411,12.85,147.2,AWD,48%,6,4.8,4.8,0.484,0.6,2.485,2.185,0.15,"2,450"
Off-Road,Dubsta 6x6,0.28,100,0.336,13,137,AWD,35%,6,2,2,0.6,0.65,2,1.7,0.8,"3,500"
Off-Road,Dune Buggy,0.25,100,0.300,11,135,RWD,0%,5,2.3,2.3,0.63,0.5,2.2,2.12,0,"1,800"
Off-Road,Dune FAV,0.25,100,0.300,11,135,RWD,0%,5,3.3,3.3,0.63,0.5,2.2,2.12,0,"1,800"
Off-Road,Duneloader,0.17,100,0.204,9,100,RWD,0%,4,1.1,1.1,0.6,0.55,1.7,1.5,0.5,"2,100"
Off-Road,Everon,0.295,120,0.366,11.75,136,AWD,50%,6,4.3,4.3,0.3,0.65,2.05,1.8,0.15,"3,250"
Off-Road,Firebolt ASP,0.2962,100,0.355,9,144.5,RWD,0%,4,1.3,1.5,0.39,0.545,2.34,2.195,0.25,2120
Off-Road,Firebolt ASP (HSW),0.2962,125,0.370,9,144.5,RWD,0%,4,1.3,1.5,0.39,0.545,2.34,2.195,0.25,2120
Off-Road,Freecrawler,0.24,100,0.288,12,135,AWD,50%,4,4.3,4.3,0.3,0.65,2.05,1.8,0.15,"2,000"
Off-Road,Hellion,0.25,100,0.300,10,133.5,AWD,50%,5,2.1,2.1,0.3,0.65,2,1.82,0.15,"1,900"
Off-Road,Hot Rod Blazer,0.2,100,0.240,11,120,AWD,20%,5,2.3,2.3,1,0.65,2.6,2.4,0,600
Off-Road,Injection,0.22,100,0.264,8,130,RWD,0%,5,2,2,0.62,0.6,1.85,1.75,0,"1,800"
Off-Road,Insurgent,0.24,100,0.288,13,130,AWD,4%,6,1.5,1.5,0.6,0.65,2,1.7,0,"8,600"
Off-Road,Insurgent Pick-Up,0.24,-,-,13,130,AWD,4%,6,1.5,1.5,0.6,0.65,2,1.7,0,"8,600"
Off-Road,Insurgent Pick-Up Custom,0.24,100,0.288,13,130,AWD,40%,6,2.5,2.5,0.6,0.65,2,1.7,0,"8,600"
Off-Road,Kalahari,0.26,100,0.312,15,120,AWD,50%,4,1.2,1.3,1,0.6,1.78,1.7,0,800
Off-Road,Kamacho,0.255,400,0.459,10,134,AWD,50%,5,2.1,2.1,0.3,0.65,2,1.82,0.15,"2,350"
Off-Road,Liberator,0.4,-,-,28,110,AWD,20%,3,1.8,1.8,0.65,0.65,2.25,2.12,0.4,"4,000"
Off-Road,Marshall,0.4,-,-,28,110,AWD,20%,3,1.8,1.8,0.65,0.65,2.25,2.12,0.4,"4,000"
Off-Road,Menacer,0.2,100,0.240,13,130,AWD,40%,6,3.5,3.5,0.6,0.65,2,1.65,0,"5,600"
Off-Road,Mesa (Merryweather),0.17,100,0.204,8,130,AWD,10%,5,1.3,1.3,0.3,0.65,2,1.7,0.1,"2,400"
Off-Road,MonstroCiti,0.2735,120,0.339,10.75,141.7,AWD,50%,5,5.5,5.5,0.369,0.57,2.16,2.033,0.15,1990
Off-Road,MonstroCiti (HSW),0.2735,160,0.361,10.75,141.7,AWD,50%,5,5.5,5.5,0.369,0.57,2.16,2.033,0.15,1990
Off-Road,Nightshark,0.27,100,0.324,14,140,AWD,40%,6,3.5,3.5,0.75,0.65,2.1,1.9,0,"4,400"
Off-Road,Outlaw,0.475,100,0.570,30,117,AWD,38%,3,2.3,2.3,0.6,0.5,2.025,1.89,0,850
Off-Road,Patriot Mil-Spec,0.23,70,0.262,10.5,128,AWD,40%,4,1.6,1.6,0.485,0.58,1.985,1.75,0.8,"3,430"
Off-Road,Ramp Buggy,0.32,100,0.384,9.01,150,RWD,0%,6,6,6,1,0.45,2.65,2.55,1,"1,000"
Off-Road,Ramp Buggy (Spoiler),0.324,100,0.389,9,150,RWD,0%,6,6,6,1,0.45,2.65,2.55,1,"1,000"
Off-Road,Rancher XL,0.18,100,0.216,8.5,130,AWD,30%,5,1.6,1.6,0.8,0.6,1.95,1.75,0.8,"2,400"
Off-Road,Ratel,0.342,180,0.465,12.8,143,RWD,0%,4,4.3,4.3,0.32,0.56,2.098,1.903,0.15,1860
Off-Road,RC Bandito,0.14,110,0.171,12,80,AWD,50%,1,2,2,0.8,0.6,2.95,2.8,0,85
Off-Road,Rebel,0.2,100,0.240,8,130,AWD,30%,5,1.6,1.6,0.6,0.65,2.05,1.85,0.2,"2,400"
Off-Road,Riata,0.25,100,0.300,10,135,AWD,50%,4,4.3,4.3,0.3,0.65,2.05,1.8,0.15,"2,300"
Off-Road,Rusty Rebel,0.2,100,0.240,8,130,AWD,30%,5,1.6,1.6,0.6,0.65,2.05,1.85,0.2,"2,400"
Off-Road,Sandking SWB,0.2,100,0.240,8,130,AWD,35%,6,1.8,1.8,0.6,0.65,2,1.7,0.8,"2,400"
Off-Road,Sandking XL,0.2,100,0.240,8,130,AWD,35%,6,1.8,1.8,0.6,0.65,2,1.7,0.8,"2,400"
Off-Road,Sasquatch,0.41,125,0.513,22,130,AWD,40%,3,2.8,2.8,0.65,0.65,2.275,2.15,0.35,"4,400"
Off-Road,Space Docker,0.24,-,-,11,135,RWD,0%,5,2.3,2.3,0.63,0.5,2,1.8,0.5,"2,000"
Off-Road,Street Blazer,0.25,100,0.300,11,125,AWD,50%,6,2.3,2.3,1,0.65,2.7,2.5,0.1,550
Off-Road,Technical,0.2,-,-,8,130,AWD,30%,5,1.6,1.6,0.7,0.65,2.13,1.95,0,"3,200"
Off-Road,Technical Aqua,0.25,100,0.300,10.5,130,AWD,30%,5,1.9,1.9,0.7,0.65,2.13,1.95,0,"3,200"
Off-Road,Technical Custom,0.2,100,0.240,8,130,AWD,30%,5,1.6,1.6,0.7,0.65,2.13,1.95,0,"3,200"
Off-Road,Terminus,0.269,250,0.404,9.435,148,AWD,50%,6,2.4,2.3,0.55,0.415,2.1875,2.0085,0.15,"2,000"
Off-Road,Trophy Truck,0.339,100,0.407,13,140,AWD,50%,5,4.3,4.3,0.3,0.65,2.5,2.1,0.15,"2,200"
Off-Road,Vagrant,0.3325,85,0.389,10.55,149.65,RWD,0%,6,2.3,2.3,0.625,0.48,2.35,2.18,0,670
Off-Road,Verus,0.135,100,0.162,11,115,AWD,45%,5,1.3,1.3,0.26,0.45,2.1,1.85,0,750
Off-Road,Walton L35,0.236,180,0.321,9.95,132,AWD,35%,5,3.5,3.5,0.32,0.62,2.038,1.915,0.15,1600
Off-Road,Walton L35 Stock,0.236,180,0.321,8.5,139,AWD,35%,5,3.5,3.5,0.32,0.62,2.1,1.945,0.35,"1,455"
Off-Road,Winky,0.15,70,0.171,9.2,90,AWD,48%,5,1.3,1.3,0.26,0.48,1.85,1.7,0.1,"1,113"
Off-Road,Yosemite 1500,0.2335,100,0.280,7.75,133.5,AWD,50%,4,1.5,1.5,0.53,0.424,2,1.82,0.2,1830
Off-Road,Yosemite Rancher,0.275,100,0.330,11.5,139,AWD,50%,4,2.8,2.8,0.48,0.7,2.1,1.85,0.15,"1,400"
Off-Road,Zhaba,0.18,85,0.211,12.5,92.5,AWD,40%,5,1.8,1.8,0.8,0.58,1.9,1.7,0.8,"1,600"
Open Wheel,BR8,0.76,110,0.927,23.15,162.5,RWD,0%,6,13,11,1.3,0.475,2.925,2.775,1,550
Open Wheel,DR1,0.655,75,0.753,19,162.75,RWD,0%,6,12,10,1.15,0.475,2.8,2.75,1,750
Open Wheel,PR4,0.75,60,0.840,22.76,162.5,RWD,0%,6,12,10,1.25,0.475,2.9,2.75,1,505
Open Wheel,R88,0.745,60,0.834,22.75,162.5,RWD,0%,6,12,10,1.25,0.475,2.8,2.75,1,585
Sedans,Asea,0.2,100,0.240,8,145,FWD,100%,5,1.6,1.6,0.4,0.65,2.05,1.6,1,"1,400"
Sedans,Asterope,0.2,100,0.240,8,145,RWD,0%,5,2,2,0.9,0.425,2.5,2.2,1,"1,500"
Sedans,Asterope GZ,0.238,200,0.333,8,145,RWD,0%,5,2,2,0.9,0.425,2.335,2.22,1,"1,500"
Sedans,Chavos V6,0.274,132,0.346,8,146,RWD,0%,5,2,2,0.69,0.4475,2.554,2.367,1,1430
Sedans,Cinquemila,0.3535,80,0.410,10.7,154,RWD,0%,8,3.8,3.8,0.975,0.54,2.63,2.37,1,"1,860"
Sedans,Cognoscenti,0.26,100,0.312,7.75,140,RWD,0%,5,2.5,2.5,0.55,0.65,2.1,1.65,1,"2,700"
Sedans,Cognoscenti (Armored),0.255,100,0.306,7.75,140,RWD,0%,5,2.5,2.5,0.52,0.65,2.1,1.65,1,"2,800"
Sedans,Cognoscenti 55,0.265,100,0.318,7.75,145,RWD,0%,5,2.5,2.5,0.57,0.65,2.2,1.75,1,"2,500"
Sedans,Cognoscenti 55 (Armored),0.26,100,0.312,7.75,145,RWD,0%,5,2.5,2.5,0.55,0.65,2.2,1.75,1,"2,600"
Sedans,Deity,0.2925,70,0.333,10,150,RWD,0%,8,1.95,1.95,0.65,0.65,2.15,1.85,1,"2,685"
Sedans,Emperor,0.14,100,0.168,6,120,RWD,0%,5,1.3,1.3,0.6,0.425,1.9,1.55,1,"1,900"
Sedans,Emperor Beater,0.14,100,0.168,6,120,RWD,0%,5,1.3,1.3,0.6,0.425,1.9,1.55,1,"1,900"
Sedans,Fugitive,0.2,100,0.240,7,145,RWD,0%,5,2.3,2.3,0.9,0.425,2.5,2.2,1,"1,600"
Sedans,Glendale,0.235,100,0.282,9.5,147,RWD,0%,5,1.6,1.6,0.65,0.55,2.05,1.7,1,"1,600"
Sedans,Glendale Custom,0.233,180,0.317,9.3,148,RWD,0%,5,1.6,1.6,0.625,0.55,2.25,1.95,1,"1,550"
Sedans,Hardy,0.2712,320,0.445,7.5,157.6,RWD,0%,5,1.25,1.25,0.5662,0.45,2.025,1.9,1,"1,350"
Sedans,Ingot,0.14,100,0.168,7,125,FWD,100%,5,1.3,1.3,0.6,0.65,1.95,1.65,1,"1,400"
Sedans,Intruder,0.2,100,0.240,7.5,145,RWD,0%,5,2.3,2.3,0.9,0.425,2.35,2.05,1,"1,600"
Sedans,Minimus,0.2815,120,0.349,8.65,148.5,RWD,0%,4,2.5,2.2,0.55,0.57,2.55,2.345,1,"1,600"
Sedans,Premier,0.2,100,0.240,8,145,FWD,100%,5,1.6,2,0.6,0.65,2.1,1.8,1,"1,600"
Sedans,Primo,0.2,100,0.240,8,140,RWD,0%,5,1.6,1.6,0.9,0.425,2.35,2.05,1,"1,800"
Sedans,Primo Custom,0.2,100,0.240,8,140,RWD,0%,5,1.6,1.6,0.9,0.425,2.35,2.05,1,"1,800"
Sedans,Regina,0.14,100,0.168,8,120,RWD,0%,4,1.3,1.3,0.6,0.425,1.9,1.55,1,"1,900"
Sedans,Rhinehart,0.339,90,0.400,10.75,157.2,AWD,50%,8,5,5,0.885,0.54,2.285,2.155,0.8,"1,660"
Sedans,Romero Hearse,0.15,100,0.180,8,125,RWD,0%,5,1.3,1.3,0.5,0.65,1.95,1.55,1,"2,000"
Sedans,Schafter,0.2,200,0.280,7.5,145,RWD,0%,5,2,2,0.9,0.425,2.55,2.25,1,"1,600"
Sedans,Schafter LWB (Armored),0.185,200,0.259,7.5,142,RWD,0%,5,3,3,0.82,0.425,2.55,2.25,1,"2,000"
Sedans,Schafter V12 (Armored),0.29,200,0.406,7.25,150,RWD,0%,6,5,5,0.92,0.425,2.55,2.25,1,"1,650"
Sedans,Sentinel XS4,0.295,300,0.472,9,160,RWD,0%,5,1.6,1.7,0.65,0.46,2.05,1.9,1,"1,440"
Sedans,Stafford,0.2,100,0.240,8.2,120,RWD,0%,4,1.25,1.25,0.45,0.51,2,1.8,1,"2,110"
Sedans,Stanier,0.2,100,0.240,6,140,RWD,0%,5,1.6,1.6,0.9,0.425,2.45,2.25,1,"1,800"
Sedans,Stratum,0.21,100,0.252,7,135,AWD,40%,5,1.3,1.3,0.6,0.65,2.2,1.8,1,"1,800"
Sedans,Stretch,0.17,-,-,6,135,RWD,0%,5,1.3,1.3,0.8,0.425,1.85,1.4,1,"2,400"
Sedans,Super Diamond,0.26,100,0.312,8,145,RWD,0%,5,1.8,1.8,0.6,0.65,2.1,1.65,1,"2,800"
Sedans,Surge,0.1,100,0.120,8.3,140,FWD,100%,1,1.3,1.3,0.6,0.65,2.15,1.85,1,"1,800"
Sedans,Tailgater,0.2,100,0.240,8,145,RWD,0%,5,2.3,2.3,0.9,0.425,2.55,2.25,1,"1,400"
Sedans,Tailgater S,0.2775,130,0.350,8.2,147.85,RWD,0%,6,2.3,2.3,0.88,0.425,2.595,2.32,1,"1,340"
Sedans,Turreted Limo,0.27,-,-,12,125,RWD,0%,4,1.3,1.3,0.8,0.425,2.175,1.85,1,"3,750"
Sedans,Vorschlaghammer,0.265,300,0.424,9.1,157,RWD,0%,5,1.6,1.6,0.625,0.47,2.065,1.922,1,1370
Sedans,Warrener,0.245,150,0.319,11,140,RWD,0%,5,2.6,2.6,0.95,0.6,2.16,1.83,1,"1,300"
Sedans,Warrener HKR,0.265,120,0.329,11,146,RWD,0%,5,2.6,2.6,0.95,0.6,2.16,1.83,0.7,965
Sedans,Washington,0.2,100,0.240,6,140,RWD,0%,5,1.7,1.7,0.9,0.425,2.45,2.25,1,"1,800"
Service,Airport Bus,0.12,-,-,10,100,AWD,50%,4,1,1,0.25,0.65,1.45,1.35,0.9,"9,000"
Service,Brickade,0.2,-,-,12,105,AWD,25%,5,3.5,3.5,0.4,0.6,2,1.8,0.5,"14,000"
Service,Brickade 6x6,0.2,80,0.232,12,105,AWD,25%,5,3.5,3.5,0.4,0.6,2,1.8,0.5,"14,000"
Service,Bus,0.12,-,-,10,100,AWD,50%,4,1,1,0.35,0.65,1.45,1.35,0.9,"9,000"
Service,Dashound,0.12,-,-,10,100,AWD,20%,4,1,1,0.25,0.65,1.45,1.35,0.7,"8,500"
Service,Dune,0.33,-,-,14.5,125,AWD,35%,5,4.5,4.5,0.6,0.6,2.3,1.9,0.5,"7,000"
Service,Festival Bus,0.13,-,-,15,90,RWD,0%,4,1,1,0.25,0.65,1.15,1,0.9,"8,000"
Service,Rental Shuttle Bus,0.12,-,-,10,110,RWD,0%,4,1,1,0.25,0.65,1.55,1.45,0.9,"5,500"
Service,Taxi,0.2,-,-,6,143,RWD,0%,5,1.8,1.8,0.9,0.525,2.55,2.45,1,"1,400"
Service,Taxi Custom,0.2,100,0.240,6,143,RWD,0%,5,1.8,1.8,0.9,0.525,2.55,2.45,1,"1,400"
Service,Tour Bus,0.12,-,-,10,110,RWD,0%,4,1,1,0.25,0.65,1.55,1.45,0.9,"5,500"
Service,Trashmaster,0.13,-,-,4,110,RWD,0%,5,1.3,1.3,0.3,0.6,1.55,1.4,0.5,"9,000"
